Page ID,Page Name,Disclaimer,Amount Spent (MXN),Number of Ads in Library
505132912869455,Instituto Guanajuatense para las Personas con Discapacidad,Ads Project Media,46047,8
133056480769,Gobierno del Estado de Chihuahua,Coordinación de Comunicación Social del Gobierno del Estado de Chihuahua,45934,19
1193823444063298,José Casas,José Casas,45602,61
364121500284623,Octavio Pedroza,Octavio Pedroza,45523,41
308788292633006,Maribel Martínez Ruiz,Maribel Martínez Ruiz,45240,55
184518858298382,Maki Ortiz,Maki Esther Ortiz Dominguez,45238,21
933521593375115,El Informal de Baja California,El Informal de Baja California,45027,47
1434468276774349,Educafin-Sube,Ads Project Media,44999,5
167548110401611,Adalberto Madero,Adalberto Arturo Madero Quiroga,44751,35
1068096853205084,Ale "Wera" Reynoso,Ale "Wera" Reynoso,44715,52
453934008467355,Claudia Pérez Rodríguez,Claudia Pérez Rodríguez,44613,24
179387312078698,Partido Verde Ecologista México,Partido Verde Ecologista México,44367,4
1613868898897076,Waldo Fernández González,Waldo Fernández González,44290,3
238139519930629,Acción Policial Querétaro,GRUPO VALPI,44114,8
102903394656386,María Bárbara Cepeda Boehringer,brechacomunicacion,43806,122
103804164602374,Maru Calderón,Brecha Comunicación,43758,247
100289911720885,Supervisión Sanitaria Covid19 Querétaro,GRUPO VALPI,43730,13
555415404594824,Estéreo News,Estéreo News,43577,48
629587274332990,Despierta el Bajío,Despierta el Bajío,43570,11
102997974732481,Pandamex,M Zambrano,43518,29
183751562214729,David Cortés,David Cortés,43500,7
231205014943789,Desde abajo y con la gente,Por un Morena democrático,43494,5
1160826833951193,Roberto De Los Santos Vazquez,Juan Jaime Escamilla Adame,43405,92
266995136793178,LingoChamp,These ads ran without a disclaimer,43365,14
207419256255720,Jorge Soto,Jorge Soto,43229,41
111565000434631,Diana Mendoza Tamez,Partido Verde Ecologista de México,42938,16
124047777702377,Secretaría de Gobierno de Guanajuato,Difraxion Group,42841,11
114436937022157,Arturo Segoviano,Arturo Segoviano,42804,31
384214801745089,Samuel García,These ads ran without a disclaimer,42613,35
178794782212537,Roberto Cabrera Valencia,Roberto Cabrera Valencia,42610,105
101130375043528,Buenas Noticias México,Viviana Caravantes Nieto,42410,4
236497390731999,Municipios y Alcaldes,Logística Digital,42292,45
113685655793633,Chuy de León,Chuy de León,42029,60
111756813996560,Unidas contra la Corrupción,Unidas Contra La Corrupción,42000,5
294591180601746,Dr. Carlos Lomelí Bolaños,Dr. Carlos Lomelí Bolaños,40887,12
427506170657378,Francisco Pelayo Covarrubias,Silent Mob,40863,7
2090856164468670,Fernando Vilchis,Fernando Vilchis,40793,75
1464544813804642,Policía Ciudad de México,These ads ran without a disclaimer,40711,17
2303533579927419,Redes Sociales Progresistas,Redes Sociales Progresistas,40700,3
475040405910613,Lenin Perez Rivera,Evaristo Lenin Perez Rivera,40499,69
592495347619799,Todos queremos Sexo Seguro,Sexo seguro YXMEX,40349,126
1475560369389675,Luis Gómez,Luis Gómez,40309,66
391520257674113,Ricky ShowMen,Partido Verde Ecologista de México,40190,20
118627876711899,Informando en SLP,Informando en SLP.,40181,4
121575759753561,SLP News,SLP News MX.,40181,4
407894373329897,Acta Diurna,Acta Diurna,40150,18
101385498438861,ElObservadorBC,El Observador BC,39919,11
427408934120209,Amin Anchondo,Jessica Gonzalez,39823,51
1779664045640037,Comapa Zona Conurbada,Comapa Zona Conurbada,39757,155
311362482559859,Arleth Grimaldo,Manuel García Lopez,39715,229
224723555310,UNIPRE,These ads ran without a disclaimer,39700,6
111843677307845,Pablo Ortega,Partido Verde Ecologista de México,39500,17
313887855289216,Jorge Zermeño Infante,Jorge Zermeño Infante,39447,53
113573477135935,Servicio de Administración Tributaria del Estado de Guanajuato,Ads Project Media,39441,3
1479975992231163,Adolfo Torres,Adolfo Torres Ramirez,39428,12
192680674189566,El Respetable,Bruno Agustin López Arguelles,39392,108
286550274872574,Encuentro Social Hidalgo,Partido Encuentro Social Hidalgo,39381,16
148180912630259,Jorge Luis Montes Nieves,Jorge Luis Montes Nieves,38803,19
589484077738887,Jorge Álvarez Máynez,Jorge Álvarez Máynez,38634,491
136240676894192,Roberto Sosa Pichardo,Roberto Sosa Pichardo,38547,209
106006482764390,Gobierno del Estado de Sinaloa,These ads ran without a disclaimer,38539,7
235826487276400,Dip. Lucila Martínez,Lucila Martínez Manríquez,38398,12
237286396650510,Enkoll Inteligencia de Mercados,Enkoll,38398,131
329389757587201,Diana Carpio Ríos,Secretaría de Salud del Estado de Michoacán,38388,16
114980973653490,Juan Carlos Constante,Partido Verde Ecologista de México,38332,14
314305366155617,Abstracto Noticias Frases.,Referente,38284,21
299630316784235,Juan Carlos Ruiz,Juan Carlos Ruiz,38262,34
481939865496353,Vianey García,Vianey García,38146,37
283653271758441,24 Morelos,24 CDMX,38083,84
106969843330443,Adahan Casas,Adahan Casas,37983,53
101001864853145,Claudia Leza,Partido Verde Ecologista de México,37927,16
107775391069072,Expedientes Populares,Expedientes Populares,37906,4
114401477003851,SOMOS,SOMOS,37776,18
133761830290194,Tere Jiménez,Comunicación Social AGS,37770,51
